JobName,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19
Job_07007,0.02400475,18.89455255,128.8568704,109.9623178,7575.546323,-4.383995353,105.5783225,0.000301029,95.37723814,-3.584448368,106.3778695,-0.262810509,109.6995073,0.050002895,3.584448368,3.147283756,-0.137638491,3.799666884,0.005630811
Job_07008,0.036213122,22.30628944,120.7255373,98.41924787,3025.878128,-52.29417669,46.12507118,-0.004225519,95.80527589,-11.59057925,86.82866862,-52.23324305,46.18600481,0.050002995,11.59057925,3.205970971,-0.106242919,3.797292989,0.006721121
Job_07009,0.023394777,20.75209632,127.743378,106.9912817,5244.380763,-20.87192096,86.11936073,0.007254828,95.25546993,-5.495183718,101.496098,-20.22621113,86.76507056,0.050002934,5.495183718,3.111289773,-0.240793965,3.798130723,0.007522804
Job_07010,0.111438192,20.18764924,123.3757859,103.1881366,16124.20858,1.339844459,104.5279811,0.002529861,94.91604958,-4.680720817,98.50741581,26.92817482,130.1163114,0.050003212,4.680720817,3.185965008,-0.109701079,3.797872701,0.007737833
Job_07011,0.068499182,16.20195681,116.3895652,100.1876084,7016.456177,-70.04941812,30.13819032,-0.000383301,95.55866677,7.508946981,107.6965554,-70.05049105,30.13711739,0.050003618,-7.508946981,3.221623998,-0.137269138,3.79714337,0.007778934
Job_07012,0.051966822,26.88941844,128.3657531,101.4763346,6174.816033,-43.70008742,57.77624723,-0.002538949,95.4246641,-7.488016427,93.98831822,-43.61949973,57.85683492,0.050003795,7.488016427,3.072274442,-0.258690873,3.798294812,0.006857366
Job_07013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.228748989,-0.17555405,3.798371077,0.006402696
Job_07014,0.068379117,20.41063762,118.5212661,98.11062851,5514.523037,-58.67998625,39.43064227,0.004459539,94.73713797,-14.28032604,83.83030247,-58.74125941,39.3693691,0.050003211,14.28032604,3.20452118,-0.08003202,3.796951277,0.006857147
Job_07015,0.037070624,14.18043917,125.2055369,111.0250977,13222.00379,2.594177293,113.619275,0.001740214,96.1177813,-2.742203641,108.2828941,15.16901583,126.1941136,0.050002913,2.742203641,3.118361496,-0.248248014,3.798560755,0.004718286
Job_07016,0.082437305,7.867499505,115.3476663,107.4801668,19552.97473,-6.197073105,101.2830936,-0.001977226,95.27144395,-2.656740806,104.8234259,-2.136691621,105.3434751,0.050003002,2.656740806,3.115537371,-0.222901765,3.797713875,0.007776843
Job_07017,0.061539664,32.48613339,133.3507842,100.8646508,6813.697147,-55.78760482,45.07704603,-0.000893462,95.43111392,-20.48628638,80.37836447,-55.92043664,44.94421421,0.050003846,20.48628638,3.250631507,-0.147637723,3.797287017,0.007797307
Job_07018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.202391319,-0.128418911,3.797403725,0.007730168
Job_07019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.336138387,-0.144917246,3.796735939,0.007324302
Job_07020,0.029113911,17.75669653,125.8559464,108.0992498,7414.469303,-34.01863147,74.08061838,0.005344749,94.90506067,-3.800991103,104.2982587,-33.90040336,74.19884648,0.050003627,3.800991103,3.112195163,-0.187101842,3.799841699,0.005978993
Job_07021,0.015854635,11.59536186,126.1805307,114.5851688,8521.549308,-7.293539691,107.2916291,-0.001295745,95.6365191,-11.38896725,103.1962016,17.420634,132.0058028,0.050003543,11.38896725,3.058903259,-0.235168734,3.79702265,0.007008438
Job_07022,0.153804926,34.51892081,138.3412712,103.8223504,23937.83775,-0.859737942,102.9626125,0.002614018,93.39779066,-4.930137078,98.89221333,9.864496339,113.6868467,0.050004059,4.930137078,3.052848637,-0.244418741,3.797762254,0.007722991
Job_07023,0.095675914,10.57757715,114.7963559,104.2187787,15586.3276,-49.94093578,54.27784297,0.000114666,94.28127494,-2.574977241,101.6438015,-49.92282739,54.29595136,0.050003317,2.574977241,3.217321926,-0.173358763,3.798185641,0.006362641
Job_07024,0.092501635,16.30724994,121.6485224,105.3412725,17148.61619,-16.02322502,89.31804744,0.006142666,94.06425044,-2.41773849,102.923534,-15.79024132,89.55103113,0.050003111,2.41773849,3.190601824,-0.130468722,3.799025952,0.005067879
Job_07025,0.054302034,20.30075239,128.6812833,108.3805309,14285.50865,-46.54369783,61.83683306,0.002340153,94.42975749,-7.259362438,101.1211685,-46.49432615,61.88620474,0.050003119,7.259362438,3.194511697,-0.098988192,3.798131766,0.007495233
Job_07026,0.090119922,35.60544956,135.9227039,100.3172544,9369.400302,-77.61762503,22.69962935,0.005999456,94.83025526,-13.08008161,87.23717277,-77.62396685,22.69328752,0.050003348,13.08008161,3.191734285,-0.199124807,3.797738194,0.006606356
Job_07027,0.100872766,21.67921394,122.7301465,101.0509325,11413.57455,-15.70292001,85.34801252,0.004466968,95.43875561,-4.352356435,96.6985761,-14.85329762,86.19763491,0.050003243,4.352356435,3.081472488,-0.236756974,3.796914512,0.006895958
Job_07028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.155117905,-0.205776943,3.798559726,0.004758745
Job_07029,0.020886193,18.39311027,126.2053643,107.812254,5146.889159,4.928310355,112.7405643,0.003722635,95.28044201,-5.09223406,102.7200199,18.9237123,126.7359663,0.050002829,5.09223406,3.072651178,-0.2327463,3.797028115,0.007127831
Job_07030,0.034755929,12.11261798,120.8767004,108.7640824,9556.026544,-23.97745833,84.78662407,-0.000747961,94.47091704,-4.818292289,103.9457901,-23.41047678,85.35360562,0.050003148,4.818292289,3.196975934,-0.241003036,3.796931959,0.006887434
Job_07031,0.039741353,22.01555761,129.6448599,107.6293023,9587.895908,-18.15451826,89.47478406,0.001257446,95.06778889,-8.348738968,99.28056335,-16.32573917,91.30356316,0.050003019,8.348738968,3.10389978,-0.185644752,3.798899343,0.004934514
Job_07032,0.095170593,20.72079452,124.3588925,103.638098,14501.46704,-49.65295984,53.98513818,0.000753998,94.55863502,-4.709240736,98.92885728,-49.62958581,54.00851221,0.050003749,4.709240736,3.182634987,-0.139233039,3.799623401,0.005807026
Job_07033,0.103455285,23.96533119,125.9156159,101.9502847,12982.24659,-45.24489839,56.7053863,0.000676273,95.06600614,-7.73961738,94.21066731,-45.31000779,56.6402769,0.050003932,7.73961738,3.211526287,-0.111602321,3.799668232,0.005833131
Job_07034,0.026887415,19.48006266,125.896458,106.4163954,5641.936373,-11.09692881,95.31946655,-0.001454553,95.0825048,-4.276204711,102.1401906,-9.083464093,97.33293126,0.050003313,4.276204711,3.140015505,-0.261874017,3.797154558,0.007298466
Job_07035,0.068316129,22.62090702,118.9388229,96.31791586,4482.008016,-66.26410251,30.05381335,0.001396762,95.97240238,-23.58133362,72.73658224,-66.32342596,29.9944899,0.050003773,23.58133362,3.241816868,-0.179459982,3.798994841,0.006364499
Job_07036,0.054904738,42.86341807,150.8303941,107.966976,13772.26265,7.318520995,115.285497,0.001493118,94.67800544,-1.600320369,106.3666556,4.077151008,112.044127,0.050003062,1.600320369,3.081537654,-0.24383269,3.798678926,0.00473047
Job_07037,0.022147116,36.59113893,148.5003411,111.9092022,8746.109655,-19.22697138,92.68223082,0.000409535,95.80564004,-3.255251234,108.653951,-18.75706752,93.15213468,0.050002965,3.255251234,3.259690883,-0.100313388,3.799752075,0.005891254
Job_07038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.220028729,-0.173765627,3.798849278,0.005053758
Job_07039,0.095038399,46.67154921,146.0191188,99.34756962,8836.543004,8.022826947,107.3703966,0.008128688,95.64921681,-1.576425088,97.77114453,13.25525503,112.6028246,0.050002917,1.576425088,3.197111001,-0.274436417,3.79780449,0.007948138
Job_07040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3452571,-0.122592232,3.796934322,0.007023646
Job_07041,0.094295339,17.59046574,120.9328721,103.3424063,13887.32068,-34.47768175,68.86472457,-0.002827781,95.50760697,-5.283926987,98.05847934,-34.31517375,69.02723258,0.050003365,5.283926987,3.234474593,-0.259472862,3.79887028,0.005410429
Job_07042,0.067555568,35.52042226,136.7359053,101.2154831,7789.250343,-17.32236262,83.89312045,-0.000201717,95.73587207,-1.66011043,99.55537264,-17.55126741,83.66421566,0.050002978,1.66011043,3.153893708,-0.231220775,3.79779531,0.006447204
